"","doid","is_a"
"1330"," DOID:0050483",NA
"1332"," DOID:0050484"," DOID:11104 "
"1335"," DOID:0050485"," DOID:0050338 "
"1338"," DOID:0050486"," DOID:37 "
"1341"," DOID:0050487"," DOID:0050486 "
"1344"," DOID:0050488"," DOID:9856 "
"1347"," DOID:0050489"," DOID:12176 "
"1350"," DOID:0050490"," DOID:9988 "
"1353"," DOID:0050491"," DOID:9988 "
"1356"," DOID:0050492",NA
"1358"," DOID:0050493",NA
"1360"," DOID:0050494",NA
"1362"," DOID:0050495"," DOID:934 "
"1365"," DOID:0050496",NA
"1367"," DOID:0050497",NA
"1369"," DOID:0050498",NA
"1371"," DOID:0050499",NA
"1373"," DOID:0050500",NA
"1375"," DOID:0050501",NA
"1377"," DOID:0050502",NA
"1379"," DOID:0050503",NA
"1381"," DOID:0050504",NA
"1383"," DOID:0050505",NA
"1385"," DOID:0050506",NA
"1387"," DOID:0050507",NA
"1389"," DOID:0050508"," DOID:8736 "
"1392"," DOID:0050509",NA
"1394"," DOID:0050510",NA
"1396"," DOID:0050511",NA
"1398"," DOID:0050512",NA
"1400"," DOID:0050513"," DOID:0050515 "
"1403"," DOID:0050514"," DOID:0050515 "
"1406"," DOID:0050515"," DOID:4953 "
"1409"," DOID:0050516"," DOID:934 "
"1412"," DOID:0050517"," DOID:934 "
"1415"," DOID:0050518"," DOID:934 "
"1418"," DOID:0050519",NA
"1420"," DOID:0050520",NA
"1422"," DOID:0050521"," DOID:934 "
"1425"," DOID:0050522"," DOID:11266 "
"1428"," DOID:0050523"," DOID:715 "
"1431"," DOID:0050524"," DOID:0081062 "
"1434"," DOID:0050525",NA
"1436"," DOID:0050526"," DOID:225 "
"1439"," DOID:0050527",NA
"1441"," DOID:0050528"," DOID:0111867 "
"1444"," DOID:0050529"," DOID:12377 "
"1447"," DOID:0050530"," DOID:0060160 "
"1450"," DOID:0050531",NA
"1452"," DOID:0050532",NA
"1454"," DOID:0050533",NA
"1456"," DOID:0050534"," DOID:8498 "
"1459"," DOID:0050535"," DOID:2462 "
"1462"," DOID:0050536",NA
"1464"," DOID:0050537"," DOID:83 "
"1467"," DOID:0050538"," DOID:10595 "
"1470"," DOID:0050539"," DOID:10595 "
"1473"," DOID:0050540"," DOID:10595 "
"1476"," DOID:0050541"," DOID:10595 "
"1479"," DOID:0050542"," DOID:10595 "
"1482"," DOID:0050543"," DOID:10595 "
"1485"," DOID:0050544"," DOID:9252 "
"1488"," DOID:0050545"," DOID:0080015 "
"1491"," DOID:0050546"," DOID:9553 "
"1494"," DOID:0050547"," DOID:3973 "
"1497"," DOID:0050548"," DOID:870 "
"1500"," DOID:0050549"," DOID:225 "
"1503"," DOID:0050550",NA
"1505"," DOID:0050551",NA
"1507"," DOID:0050553"," DOID:225 "
"1510"," DOID:0050554"," DOID:8955 "
"1513"," DOID:0050556",NA
"1515"," DOID:0050557"," DOID:9884 "
"1518"," DOID:0050558"," DOID:0050557 "
"1521"," DOID:0050559"," DOID:0111229 "
"1524"," DOID:0050560"," DOID:0050557 "
"1527"," DOID:0050561"," DOID:0050704 "
"1530"," DOID:0050562"," DOID:0050703 "
"1533"," DOID:0050563"," DOID:2742 "
"1536"," DOID:0050564"," DOID:0050563 "
"1539"," DOID:0050565"," DOID:0050563 "
"1542"," DOID:0050566"," DOID:0050563 "
"1545"," DOID:0050567"," DOID:0080015 "
"1548"," DOID:0050568"," DOID:1934 "
"1551"," DOID:0050569"," DOID:225 "
"1554"," DOID:0050570"," DOID:5212 "
"1557"," DOID:0050571"," DOID:5212 "
"1560"," DOID:0050572"," DOID:8466 "
"1563"," DOID:0050573"," DOID:9252 "
"1566"," DOID:0050574"," DOID:0050573 "
"1569"," DOID:0050575"," DOID:0050573 "
"1572"," DOID:0050576"," DOID:225 "
"1575"," DOID:0050577"," DOID:225 "
"1578"," DOID:0050578"," DOID:4448 "
"1581"," DOID:0050579"," DOID:2747 "
"1584"," DOID:0050580"," DOID:4977 "
"1587"," DOID:0050581"," DOID:1934 "
"1590"," DOID:0050583",NA
"1592"," DOID:0050584"," DOID:8200 "
"1595"," DOID:0050585"," DOID:0080298 "
"1598"," DOID:0050587"," DOID:10937 "
"1601"," DOID:0050588"," DOID:0050557 "
"1604"," DOID:0050589"," DOID:5295 "
